"Generation"	"mean.ne"	"l.95"	"u.95"	"pop"
"116"	16	131.05658	109.5151	155.108625	"STLE"
"117"	17	123.254748	103.509375	145.615825	"STLE"
"118"	18	119.008615	100.841475	140.640825	"STLE"
"119"	19	116.054547	96.00169	139.9921	"STLE"
"120"	20	113.804518	94.1558675	139.6117	"STLE"
"121"	21	112.199544	90.514185	140.332625	"STLE"
"122"	22	110.828291	89.75276	139.366325	"STLE"
"123"	23	109.556449	87.9293175	138.033325	"STLE"
"124"	24	108.273839	88.11825	137.719725	"STLE"
"125"	25	107.370027	88.6621475	135.845375	"STLE"
"126"	26	107.851633	89.3321875	131.6522	"STLE"
"127"	27	108.76391	90.3790175	134.259775	"STLE"
"128"	28	105.199835	79.7743025	132.220925	"STLE"
"129"	29	95.056787	69.357705	128.760725	"STLE"
"130"	30	83.862307	54.116975	117.429275	"STLE"
"131"	31	68.230385	42.20303	108.0075	"STLE"
"132"	32	53.058204	28.17793	94.722895	"STLE"
"133"	33	37.560386	19.7298675	69.2205475	"STLE"
"134"	34	29.234207	13.3378525	49.9699575	"STLE"
"135"	35	27.6522036	12.2063575	50.598235	"STLE"
"136"	36	29.2049419	11.8336325	56.181215	"STLE"
"137"	37	31.6220842	13.9530975	62.089235	"STLE"
"138"	38	35.279916	13.955935	75.33518	"STLE"
"139"	39	40.029085	14.9649775	89.764815	"STLE"
"140"	40	46.280161	17.0236975	105.913075	"STLE"
"141"	41	54.69674	19.929225	121.220525	"STLE"
"142"	42	68.096229	26.365295	138.955725	"STLE"
"143"	43	86.252335	32.27493	173.368125	"STLE"
"144"	44	110.93385	39.8365625	229.64625	"STLE"
"145"	45	147.732177	56.2850325	309.04465	"STLE"
"146"	46	199.100855	86.1974425	378.370675	"STLE"
"147"	47	245.63856	125.1348	387.808075	"STLE"
"148"	48	287.88088	147.672225	462.278175	"STLE"
"149"	49	331.74957	200.830525	517.70415	"STLE"
"150"	50	371.95069	236.872375	551.051925	"STLE"
"151"	51	403.05459	272.17215	585.84585	"STLE"
"152"	52	422.48624	279.405425	596.010675	"STLE"
"153"	53	434.06546	294.12305	592.838675	"STLE"
"154"	54	441.35699	305.16975	591.83545	"STLE"
"155"	55	445.73744	308.4816	603.719475	"STLE"
"156"	56	448.78369	313.714225	602.46235	"STLE"
"157"	57	451.57974	314.5484	603.93195	"STLE"
"158"	58	453.81444	320.3779	604.737125	"STLE"
"159"	59	455.3217	325.009425	605.049025	"STLE"
"160"	60	457.88024	330.484775	614.035125	"STLE"
"161"	61	459.41684	337.271925	618.137825	"STLE"
"162"	62	460.6232	338.196375	625.86625	"STLE"
"163"	63	461.60985	337.524225	631.70445	"STLE"
"164"	64	461.84802	329.520575	631.96555	"STLE"
"165"	65	463.06026	326.480375	640.37005	"STLE"
"166"	66	464.82334	328.61215	643.21505	"STLE"
"167"	67	465.12889	328.45355	644.488925	"STLE"
"168"	68	465.01255	327.588675	651.16455	"STLE"
"169"	69	464.46604	322.938	656.588475	"STLE"
"170"	70	464.02913	322.9692	662.784275	"STLE"
"171"	71	463.45321	325.469575	662.322224999999	"STLE"
"172"	72	463.55657	326.201375	659.801049999999	"STLE"
"173"	73	463.34009	328.021725	661.95285	"STLE"
"174"	74	463.26605	327.1109	663.111	"STLE"
"175"	75	462.547	324.349075	654.40435	"STLE"
"176"	76	461.91027	322.937225	650.373875	"STLE"
"177"	77	461.36059	324.6172	644.577625	"STLE"
"178"	78	461.32678	319.058375	638.5788	"STLE"
"179"	79	461.20191	319.1698	632.4203	"STLE"
"180"	80	459.91449	318.081125	641.665075	"STLE"
"181"	81	458.84746	318.066025	645.736975	"STLE"
"182"	82	457.4073	317.641725	641.608175	"STLE"
"183"	83	455.77574	315.489025	632.84765	"STLE"
"184"	84	454.77872	312.5961	625.01395	"STLE"
"185"	85	453.86569	316.502275	626.35975	"STLE"
"186"	86	452.47189	317.517225	638.428275	"STLE"
"187"	87	450.65509	313.7507	636.270925	"STLE"
"188"	88	448.31343	307.006225	641.1187	"STLE"
"189"	89	447.22817	306.498225	648.117375	"STLE"
"190"	90	446.34713	303.1853	661.933199999999	"STLE"
"191"	91	444.1897	299.9048	666.037725	"STLE"
"192"	92	441.44884	299.448425	658.965075	"STLE"
"193"	93	438.63804	294.451575	647.208675	"STLE"
"194"	94	435.06977	290.895125	627.80895	"STLE"
"195"	95	431.5375	292.966525	621.739175	"STLE"
"196"	96	429.44361	295.70025	622.558075	"STLE"
"197"	97	426.28513	296.984525	613.52145	"STLE"
"198"	98	421.75548	294.402575	606.056675	"STLE"
"199"	99	417.34288	290.9098	601.9608	"STLE"
"200"	100	413.08859	286.21385	599.59445	"STLE"
"201"	1	2964.1897	2365.2075	4523.8905	"LAO"
"202"	2	2964.1897	2365.2075	4523.8905	"LAO"
"203"	3	2964.1897	2365.2075	4523.8905	"LAO"
"204"	4	2964.1897	2365.2075	4523.8905	"LAO"
"205"	5	61624.0078	7551.08	181882.425	"LAO"
"206"	6	63796.6241	7623.91275	188396.125	"LAO"
"207"	7	65870.1619	8058.9345	188396.125	"LAO"
"208"	8	67330.2995	8007.02375	188396.125	"LAO"
"209"	9	105041.509	18625.0025	217251.725	"LAO"
"210"	10	117787.455	20905.215	222346.95	"LAO"
"211"	11	127016.592	24708.39	221482.75	"LAO"
"212"	12	130292.943	30252.12	222009.675	"LAO"
"213"	13	136639.179	59186.7125	215802.65	"LAO"
"214"	14	139632.157	60720.2475	211622.525	"LAO"
"215"	15	141458.002	63256.84	213302.575	"LAO"
"216"	16	142101.121	66225.55	212676.225	"LAO"
"217"	17	143319.786	66348.16	211940.05	"LAO"
"218"	18	143719.928	66434.615	207973.825	"LAO"
"219"	19	144106.731	67208.2475	206033.25	"LAO"
"220"	20	144492.541	67569.035	209929.9	"LAO"
"221"	21	144857.57	67867.4925	213379.5	"LAO"
"222"	22	145179.415	68310.0925	215201.925	"LAO"
"223"	23	145856.766	68751.075	219618.225	"LAO"
"224"	24	146581.077	68754.0075	220695.85	"LAO"
"225"	25	146886.326	68579.8225	219895.725	"LAO"
"226"	26	147110.682	69005.815	220984.175	"LAO"
"227"	27	147554.208	69470.615	226427.6	"LAO"
"228"	28	147667.562	70469.8275	226262.5	"LAO"
"229"	29	148023.083	71027.2325	230232.725	"LAO"
"230"	30	148709.077	71141.045	231723.1	"LAO"
"231"	31	148647.683	70288.2625	232440.125	"LAO"
"232"	32	148702.368	70166.36	233721.25	"LAO"
"233"	33	148739.491	70032.5125	236197.875	"LAO"
"234"	34	148531.236	70127.3275	237096.15	"LAO"
"235"	35	148399.168	70338.895	234972.725	"LAO"
"236"	36	148413.498	69997.81	236295.025	"LAO"
"237"	37	148804.08	70142.3575	239699.075	"LAO"
"238"	38	148966.428	70498.525	242322.6	"LAO"
"239"	39	149049.772	72274.1375	242555.35	"LAO"
"240"	40	149276.354	72500.8825	244594.075	"LAO"
"241"	41	149369.517	71673.5075	244700.1	"LAO"
"242"	42	148460.598	71711.9625	240958.825	"LAO"
"243"	43	147068.063	71660.3775	231757.025	"LAO"
"244"	44	145523.848	71133.18	225678.525	"LAO"
"245"	45	143017.046	71617.23	224652.925	"LAO"
"246"	46	138989.021	66919.915	215500.5	"LAO"
"247"	47	131815.683	60925.445	196488.9	"LAO"
"248"	48	122696.947	56309.0575	193047	"LAO"
"249"	49	112610.764	51605.81	177580.55	"LAO"
"250"	50	100838.636	44525.7575	166247.425	"LAO"
"251"	51	88976.616	41142.4275	154013.575	"LAO"
"252"	52	77833.445	37354.605	149581.2	"LAO"
"253"	53	68360.971	33109.6225	146373.2	"LAO"
"254"	54	59722.844	27759.67	138301.1	"LAO"
"255"	55	51770.439	24882.2475	119536.925	"LAO"
"256"	56	45076.46	22935.0175	110452.375	"LAO"
"257"	57	40029.909	20649.075	107599.975	"LAO"
"258"	58	35539.836	19605.4275	93089.6749999999	"LAO"
"259"	59	31998.822	18439.155	78266.8574999999	"LAO"
"260"	60	29171.599	17602.35	67530.6149999999	"LAO"
"261"	61	26799.419	16612.89	58918.3899999998	"LAO"
"262"	62	24991.224	16323.7875	52077.2499999999	"LAO"
"263"	63	23451.02	15857.2325	49166.8099999999	"LAO"
"264"	64	22181.101	15595.215	42029.22	"LAO"
"265"	65	21069.376	15680.825	36435.65	"LAO"
"266"	66	20279.958	15742.425	34417.685	"LAO"
